id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
104,Ethan,Pinnock,45,90.0,0.006,0.0,0.0669230769230769,0.87,2,0.072,0.0441666666666666,0.55,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
104,Ethan,Pinnock,45,90.0,0.006,0.0,0.0669230769230769,0.87,2,0.072,0.0441666666666666,0.55,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
105,Mads,Roerslev Rasmussen,44,46.75,0.0025,0.0,0.0025,0.01,0,0.085,0.0766666666666666,0.34,1,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
105,Mads,Roerslev Rasmussen,44,46.75,0.0025,0.0,0.0025,0.01,0,0.085,0.0766666666666666,0.34,1,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
105,Mads,Roerslev Rasmussen,44,46.75,0.0025,0.0,0.0025,0.01,0,0.085,0.0766666666666666,0.34,1,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
112,Mathias,Jorgensen,45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
112,Mathias,Jorgensen,45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
112,Mathias,Jorgensen,45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,2
338,Sepp,van den Berg,41,90.0,0.078,0.0,0.062,0.6200000000000001,0,0.022,0.0388888888888888,0.38,0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,2
338,Sepp,van den Berg,41,90.0,0.078,0.0,0.062,0.6200000000000001,0,0.022,0.0388888888888888,0.38,0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,2
